date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:15	96387/96387	---M-Z	200	added ('OK')	text/html	etag:%2217883-58606a4f59a6a-gzip%22	http://webdesign-finder.com/html/canabicom/index.html	D:/Medical/medical/webdesign-finder.com/html/canabicom/index.html	(from )
13:10:15	143/143	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a4-55a4cea15579f;590387b159e70%22	http://webdesign-finder.com/robots.txt		(from )
13:10:17	142047/142047	---M-Z	200	added ('OK')	text/css	etag:%2222adf-58606a51da46e-gzip%22	http://webdesign-finder.com/html/canabicom/css/bootstrap.min.css	D:/Medical/medical/webdesign-finder.com/html/canabicom/css/bootstrap.min.css	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:18	44984/44984	---M-Z	200	added ('OK')	text/css	etag:%22afb8-58606a51c3d0e-gzip%22	http://webdesign-finder.com/html/canabicom/css/animations.css	D:/Medical/medical/webdesign-finder.com/html/canabicom/css/animations.css	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:18	71402/71402	---M-Z	200	added ('OK')	text/css	etag:%22116ea-58606a51caa6e-gzip%22	http://webdesign-finder.com/html/canabicom/css/font-awesome5.css	D:/Medical/medical/webdesign-finder.com/html/canabicom/css/font-awesome5.css	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:19	9923/9923	---M-Z	200	added ('OK')	text/css	etag:%2226c3-58606a51f792e-gzip%22	http://webdesign-finder.com/html/canabicom/css/fontello.css	D:/Medical/medical/webdesign-finder.com/html/canabicom/css/fontello.css	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:19	424260/424260	---M-Z	200	added ('OK')	text/css	etag:%2267944-58606a522672f-gzip%22	http://webdesign-finder.com/html/canabicom/css/main.css	D:/Medical/medical/webdesign-finder.com/html/canabicom/css/main.css	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:19	39702/39702	---M-Z	200	added ('OK')	text/css	etag:%229b16-58606a5211f0e-gzip%22	http://webdesign-finder.com/html/canabicom/css/shop.css	D:/Medical/medical/webdesign-finder.com/html/canabicom/css/shop.css	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:19	15418/15418	---M-Z	200	added ('OK')	application/javascript	etag:%223c3a-58606a64a9b6c-gzip%22	http://webdesign-finder.com/html/canabicom/js/vendor/modernizr-2.6.2.min.js	D:/Medical/medical/webdesign-finder.com/html/canabicom/js/vendor/modernizr-2.6.2.min.js	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:20	40717/40717	---M--	200	added ('OK')	image/jpeg	etag:%229f0d-58606a550d9d3%22	http://webdesign-finder.com/html/canabicom/images/signup.jpg	D:/Medical/medical/webdesign-finder.com/html/canabicom/images/signup.jpg	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:20	59106/59106	---M-Z	200	added ('OK')	text/html	etag:%22e6e2-58606a502aa2b-gzip%22	http://webdesign-finder.com/html/canabicom/shop-product-right.html	D:/Medical/medical/webdesign-finder.com/html/canabicom/shop-product-right.html	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:21	66538/66538	---M--	200	added ('OK')	image/jpeg	etag:%22103ea-58606a5c6a61f%22	http://webdesign-finder.com/html/canabicom/images/shop/26.jpg	D:/Medical/medical/webdesign-finder.com/html/canabicom/images/shop/26.jpg	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:21	45985/45985	---M-Z	200	added ('OK')	text/html	etag:%22b3a1-58606a4ffac8b-gzip%22	http://webdesign-finder.com/html/canabicom/shop-cart.html	D:/Medical/medical/webdesign-finder.com/html/canabicom/shop-cart.html	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:22	58671/58671	---M-Z	200	added ('OK')	text/html	etag:%22e52f-58606a5000a4b-gzip%22	http://webdesign-finder.com/html/canabicom/shop-checkout.html	D:/Medical/medical/webdesign-finder.com/html/canabicom/shop-checkout.html	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:22	2877/2877	---M--	200	added ('OK')	image/png	etag:%22b3d-58606a54d4f93%22	http://webdesign-finder.com/html/canabicom/images/logo.png	D:/Medical/medical/webdesign-finder.com/html/canabicom/images/logo.png	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:23	58773/58773	---M-Z	200	added ('OK')	text/html	etag:%22e595-58606a4f59a6a-gzip%22	http://webdesign-finder.com/html/canabicom/index-alt.html	D:/Medical/medical/webdesign-finder.com/html/canabicom/index-alt.html	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:23	96387/96387	---M-Z	200	added ('OK')	text/html	etag:%2217883-58606a4f59a6a-gzip%22	http://webdesign-finder.com/html/canabicom/	D:/Medical/medical/webdesign-finder.com/html/canabicom/index-2.html	(from http://webdesign-finder.com/html/canabicom/index.html)
13:10:23	93666/93666	---M-Z	200	added ('OK')	text/html	etag:%2216de2-58606a4f6464a-gzip%22	http://webdesign-finder.com/html/canabicom/index_static.html	D:/Medical/medical/webdesign-finder.com/html/canabicom/index_static.html	(from http://webdesign-finder.com/html/canabicom/index.html)
